query_set,system,query_id,query_type,query,matching,expected_document,expected_module,expected_section,top1_document,top1_module,top1_section,first_relevant_rank,result
Deutsch n=25,BM25_domain,q01,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,1,gefunden
Deutsch n=25,BM25_domain,q02,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,1,gefunden
Deutsch n=25,BM25_domain,q03,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,1,gefunden
Deutsch n=25,BM25_domain,q04,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,1,gefunden
Deutsch n=25,BM25_domain,q05,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P12,Inhalte,3,gefunden
Deutsch n=25,BM25_domain,q06,prerequisite,Welche Teilnahmevoraussetzungen hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,BM25_domain,q07,broad_topic,Welche Module behandeln Informationssuche und Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Qualifikationsziele,,nicht gefunden
Deutsch n=25,BM25_domain,q08,broad_topic,Welches Modul behandelt reguläre Sprachen und endliche Automaten?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Inhalte,1,gefunden
Deutsch n=25,BM25_domain,q09,language,Welche Unterrichtssprache hat P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Unterrichtssprache,1,gefunden
Deutsch n=25,BM25_domain,q10,broad_topic,Welche Wahlpflichtmodule gibt es zu Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,header,1,gefunden
Deutsch n=25,BM25_domain,q11,numerical,Wie viele ECTS hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Zugeordnete Modulteile,1,gefunden
Deutsch n=25,BM25_domain,q12,exam,Welche Prüfungsform hat P13 Abschlussmodul?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P13,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Form der Modulprüfung,,nicht gefunden
Deutsch n=25,BM25_domain,q13,responsible_person,Wer ist für WP4 Angewandtes Programmieren in der Computerlinguistik verantwortlich?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP4,Modulverantwortliche/r,1,gefunden
Deutsch n=25,BM25_domain,q14,semester,In welchem Semester wird P10 Statistische Methoden in der Sprachverarbeitung empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Zeitpunkt im Studienverlauf,1,gefunden
Deutsch n=25,BM25_domain,q15,content,Welche Inhalte behandelt P8 Computerlinguistische Anwendungen und Korpusbearbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P2,Inhalte,2,gefunden
Deutsch n=25,BM25_domain,q16,exam,Welche Prüfungsform hat P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Form der Modulprüfung,1,gefunden
Deutsch n=25,BM25_domain,q17,responsible_person,Wer ist Modulverantwortlicher für P1 Einführung in die Programmierung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P1,Modulverantwortliche/r,1,gefunden
Deutsch n=25,BM25_domain,q18,prerequisite,Welche Teilnahmevoraussetzung hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,BM25_domain,q19,broad_topic,Welche Module behandeln maschinelles Lernen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P7,Qualifikationsziele,,nicht gefunden
Deutsch n=25,BM25_domain,q20,broad_topic,In welchem Modul geht es um Syntax natürlicher Sprachen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Inhalte;header,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P6,Unterrichtssprache,,nicht gefunden
Deutsch n=25,BM25_domain,q21,exam,Welche Prüfungsform hat WP1 Computergestützte Morphologie und Lexikographie?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP1,Form der Modulprüfung,1,gefunden
Deutsch n=25,BM25_domain,q22,responsible_person,Wer ist Modulverantwortlicher für WP2 Höhere Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP2,Unterrichtssprache,2,gefunden
Deutsch n=25,BM25_domain,q23,numerical,Wie viele ECTS hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Zugeordnete Modulteile,1,gefunden
Deutsch n=25,BM25_domain,q24,content,Welche Inhalte behandelt P5 Symbolische Programmiersprache?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P5,Unterrichtssprache,,nicht gefunden
Deutsch n=25,BM25_domain,q25,language,Welche Unterrichtssprache hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Unterrichtssprache,1,gefunden
Deutsch n=25,Dense,q01,numerical,Wie viele ECTS hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Zugeordnete Modulteile,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Voraussetzung für die Vergabe,,nicht gefunden
Deutsch n=25,Dense,q02,exam,Welche Prüfungsform hat WP3 Information Retrieval?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Form der Modulprüfung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Art der Bewertung,,nicht gefunden
Deutsch n=25,Dense,q03,responsible_person,Wer ist modulverantwortlich für P10 Statistische Methoden in der Sprachverarbeitung?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,Modulverantwortliche/r,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P10,header,,nicht gefunden
Deutsch n=25,Dense,q04,semester,In welchem Semester wird P8 empfohlen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Zeitpunkt im Studienverlauf,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P8,Verwendbarkeit des Moduls,2,gefunden
Deutsch n=25,Dense,q05,content,Welche Inhalte behandelt P11 Informationsextraktion?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P11,Englischer Modultitel,,nicht gefunden
Deutsch n=25,Dense,q06,prerequisite,Welche Teilnahmevoraussetzungen hat P4 Mathematische Grundlagen der Computerlinguistik?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,P4,Teilnahmevoraussetzung,1,gefunden
Deutsch n=25,Dense,q07,broad_topic,Welche Module behandeln Informationssuche und Suchmaschinen?,module+section,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,lmu_computerlinguistik_bsc_stand_2025-09-24.pdf,WP3,Inhalte,1,gefunden
